noun,sense,replacement,marked,notes
window,window.n.01,,,
tree,tree.n.01,,,
man,man.n.01,,,
shirt,shirt.n.01,,,
wall,wall.n.01,,,
building,building.n.01,,,
person,person.n.01,,1,
ground,land.n.04,,1,no good hypernym available
sky,sky.n.01,,1,ngha
leg,leg.n.01,,3,bp; also v ambiguous
leaf,leaf.n.01,,,
sign,sign.n.01,sign.n.04,,
hand,hand.n.01,,3,body part (bp)
head,head.n.01,,3,bp
pole,pole.n.01,,,
grass,grass.n.01,,1,ngha
hair,hair.n.01,,3,bp
car,car.n.01,,,
ear,ear.n.01,,3,bp
eye,eye.n.01,,3,bp
woman,woman.n.01,,,
cloud,cloud.n.01,,,
table,table.n.01,table.n.02,,
shoe,shoe.n.01,,,
wheel,wheel.n.01,,,
door,door.n.01,,,
pant,pant.n.01,,,
letter,letter.n.01,,2,can be multiple things
people,people.n.01,,1,ngha
flower,flower.n.01,,,
water,water.n.01,,,
chair,chair.n.01,,,
glass,glass.n.01,,,
fence,fence.n.01,,,
arm,arm.n.01,,3,bp
number,number.n.01,,1,
nose,nose.n.01,,3,bp
floor,floor.n.01,,,
rock,rock.n.01,,,
jacket,jacket.n.01,,,
hat,hat.n.01,,,
tail,tail.n.01,,,
plate,home_plate.n.01,plate.n.04,2,could also depend on context
foot,foot.n.01,,3,bp
face,face.n.01,,3,bp
bush,shrub.n.01,,,
short,short.n.01,,1,
road,road.n.01,,,
bag,bag.n.01,,,
sidewalk,sidewalk.n.01,,,
helmet,helmet.n.01,,,
tire,tire.n.01,,,
snow,snow.n.01,snow.n.02,1,ngha
boy,male_child.n.01,,,
logo,logo.n.01,,1,
roof,roof.n.01,,,
umbrella,umbrella.n.01,,,
bottle,bottle.n.01,,,
boat,boat.n.01,,,
plant,plant.n.01,plant.n.02,,
street,street.n.01,,1,
branch,branch.n.01,branch.n.02,,assuming branch of a tree
post,post.n.01,post.n.04,2,ambiguous: can also be post.n.08 or post.n.09
jean,jean.n.01,,,
mouth,mouth.n.01,,3,bp
cap,cap.n.01,,,
bird,bird.n.01,,,
banana,banana.n.01,banana.n.02,,
girl,girl.n.01,,,
box,box.n.01,,,
mirror,mirror.n.01,,,
bench,bench.n.01,,,
field,field.n.01,,,
picture,picture.n.01,picture.n.05,,
pillow,pillow.n.01,,,
book,book.n.01,,,
glove,baseball_glove.n.01,,,
shelf,shelf.n.01,,,
dirt,soil.n.02,,1,ngha
clock,clock.n.01,,,
bowl,bowl.n.01,,,
neck,neck.n.01,,3,bp
trunk,trunk.n.01,,,
horse,horse.n.01,,,
wing,wing.n.01,,,
bus,bus.n.01,,,
food,food.n.01,,,
train,train.n.01,,,
paper,paper.n.01,,,
kite,kite.n.01,,,
sock,sock.n.01,,,
airplane,airplane.n.01,,,
elephant,elephant.n.01,,,
house,house.n.01,,,
lamp,lamp.n.01,,,
coat,coat.n.01,,,
cabinet,cabinet.n.01,,,
cup,cup.n.01,,,
cow,cow.n.01,,,
dog,dog.n.01,,,
finger,finger.n.01,,,
wire,wire.n.01,,,
giraffe,giraffe.n.01,,,
word,word.n.01,,1,ngha
flag,flag.n.01,,,
mountain,mountain.n.01,,,
seat,seat.n.01,,,
counter,counter.n.01,,,
sheep,sheep.n.01,,,
street_light,NF,streetlight.n.01,,
ski,ski.n.01,,,
zebra,zebra.n.01,,,
hill,hill.n.01,,,
truck,truck.n.01,,,
bike,motorcycle.n.01,,,
child,child.n.01,,,
ball,ball.n.01,,,
racket,racket.n.01,,,
skateboard,skateboard.n.01,,,
ceiling,ceiling.n.01,,,
player,player.n.01,,,
motorcycle,motorcycle.n.01,,,
surfboard,surfboard.n.01,,,
towel,towel.n.01,,,
container,container.n.01,,,
sand,sand.n.01,,,
paw,paw.n.01,,,
frame,frame.n.01,,,
curtain,curtain.n.01,,,
windshield,windshield.n.01,,,
horn,horn.n.01,,,
cat,cat.n.01,,,
boot,boot.n.01,,,
bed,bed.n.01,,,
animal,animal.n.01,,1,too hypernymy already
sink,sink.n.01,,,
donut,doughnut.n.02,,,
tie,necktie.n.01,,,
traffic_light,traffic_light.n.01,,,
pizza,pizza.n.01,,,
stone,rock.n.01,,,
sticker,spine.n.03,,,
orange,orange.n.01,,,
backpack,backpack.n.01,,,
apple,apple.n.01,,,
basket,basket.n.01,,,
collar,collar.n.01,,,
drawer,drawer.n.01,,,
lid,eyelid.n.01,lid.n.02,,
vase,vase.n.01,,,
cord,cord.n.01,,,
pot,pot.n.01,,,
phone,telephone.n.01,,,
fork,fork.n.01,,,
uniform,uniform.n.01,,,
vehicle,vehicle.n.01,,,
laptop,laptop.n.01,,,
fruit,fruit.n.01,,,
lady,lady.n.01,,,
tomato,tomato.n.01,,,
bear,bear.n.01,,,
mane,mane.n.01,,1,
license_plate,license_plate.n.01,,,
cheese,cheese.n.01,,,
tag,tag.n.01,,1,
fur,fur.n.01,,,
carrot,carrot.n.01,,,
beach,beach.n.01,,,
tower,tower.n.01,,,
vegetable,vegetable.n.01,,,
wrist,wrist.n.01,,3,bp
desk,desk.n.01,,,
cone,cone.n.01,,,
knife,knife.n.01,,,
napkin,napkin.n.01,,,
toilet,toilet.n.01,,,
dress,dress.n.01,,,
blanket,blanket.n.01,,,
faucet,faucet.n.01,,,
screen,screen.n.01,,,
keyboard,keyboard.n.01,,,
cell_phone,cell_phone.v.01,,,
watch,watch.n.01,,,
arrow,arrow.n.01,,,
bicycle,bicycle.n.01,,,
sneaker,gym_shoe.n.01,,,
broccoli,broccoli.n.01,broccoli.n.02,,
guy,guy.n.01,,,
ocean,ocean.n.01,,,
t-shirt,jersey.n.03,,,
pipe,pipe.n.01,,,
spot,topographic_point.n.01,,1,
cake,cake.n.01,,,
bread,bread.n.01,,,
sweater,sweater.n.01,,,
stick,stick.n.01,,,
room,room.n.01,,,
couch,sofa.n.01,,,
frisbee,frisbee.n.01,,,
camera,camera.n.01,,,
air,air.n.01,,1,
step,measure.n.01,,1,
trash_can,ashcan.n.01,,,
paint,paint.n.01,,,
rope,rope.n.01,,,
tray,tray.n.01,,,
tile,tile.n.01,,,
belt,belt.n.01,,,
bat,bat.n.01,,1,ambiguous
television,television.n.01,television.n.03,,
suit,suit.n.01,,,
spoon,spoon.n.01,,,
bathroom,bathroom.n.01,,,
pepper,pepper.n.01,,,
candle,candle.n.01,,,
onion,onion.n.01,,,
sauce,sauce.n.01,,,
ring,ring.n.01,,,
meat,meat.n.01,,,
brick,brick.n.01,,,
van,avant-garde.n.01,van.n.04,,
vest,vest.n.01,,,
computer,computer.n.01,,,
bridge,bridge.n.01,,,
goggles,goggles.n.01,,,
gravel,gravel.n.01,,,
platform,platform.n.01,,,
label,label.n.01,,,
chain,chain.n.01,chain.n.03,1,can also be chain.n.10
pavement,pavement.n.01,,,
beak,beak.n.01,,,
refrigerator,refrigerator.n.01,,,
wetsuit,NF,wet_suit.n.01,,
balcony,balcony.n.01,,,
carpet,rug.n.01,,,
tree_trunk,trunk.n.01,,,
skirt,skirt.n.01,,,
suitcase,bag.n.06,,,
palm_tree,palm.n.03,,,
fire_hydrant,fireplug.n.01,,,
pocket,pocket.n.01,,,
spectator,spectator.n.01,,,
kitchen,kitchen.n.01,,,
jersey,new_jersey.n.01,jersey.n.03,,
dish,dish.n.01,,,
remote_control,remote_control.n.01,,,
can,can.n.01,,,
shore,shore.n.01,,,
rug,rug.n.01,,,
outlet,mercantile_establishment.n.01,,,
star,star.n.01,,,
computer_mouse,mouse.n.04,,,
bracelet,watchband.n.01,,,
clothes,apparel.n.01,,,
street_sign,street_sign.n.01,,,
snowboard,snowboard.n.01,,,
net,internet.n.01,net.n.06,1,can also be net.n.02 or net.n.05
stair,step.n.04,,,
scarf,scarf.n.01,,,
gate,gate.n.01,,,
graffiti,graffito.n.01,,,
purse,bag.n.04,,,
luggage,baggage.n.01,,,
beard,beard.n.01,,,
log,log.n.01,,1,"contextual, going with one def interpretation"
necklace,necklace.n.01,,,
sandwich,sandwich.n.01,,,
wristband,wristband.n.01,,,
parking_lot,parking_lot.n.01,,,
park,park.n.01,,,
blind,blind.n.01,,,
train_tracks,NF,track.n.09,1,ngha
statue,statue.n.01,,1,
sun,sun.n.01,,1,ngha
speaker,speaker.n.01,speaker.n.02,1,contextual
wine,wine.n.01,,,
doorway,doorway.n.01,,,
sandal,sandal.n.01,,,
path,way.n.05,,,
skier,skier.n.01,,,
teeth,dentition.n.02,,3,bp
men,work_force.n.01,man.n.01,,
monitor,proctor.n.01,computer_monitor.n.01,,
crust,crust.n.01,,,
stove,stove.n.01,,,
cable,cable.n.01,,,
weed,weed.n.01,,,
chimney,chimney.n.01,,,
pen,pen.n.01,,,
topping,topping.n.01,,,
jar,jar.n.01,,,
feather,feather.n.01,,,
home_plate,home_plate.n.01,,,
fan,fan.n.01,,,
tent,tent.n.01,,,
cart,cart.n.01,,,
catcher,catcher.n.01,,,
trash,rubbish.n.01,,,
outfit,outfit.n.01,,,
painting,painting.n.01,,,
forest,forest.n.01,,,
bathtub,bathtub.n.01,,,
eye_glasses,NF,eyeglasses.n.01,,
decoration,decoration.n.01,,,
countertop,countertop.n.01,,,
oven,oven.n.01,,,
earring,earring.n.01,,,
pine_tree,pine.n.01,,,
lettuce,boodle.n.01,,,
city,city.n.01,,,
walkway,walk.n.05,,,
sheet,sheet.n.01,,,
olive,olive.n.01,,,
dock,dock.n.01,,,
pan,pan.n.01,,,
cockpit,cockpit.n.01,,,
bun,bun.n.01,,,
poster,poster.n.01,,,
light_switch,NF,switch.n.01,,
hot_dog,hotdog.n.01,,,
frosting,frosting.n.01,,,
bucket,bucket.n.01,,,
controller,accountant.n.01,,1,
lip,lip.n.01,,3,bp
pepperoni,pepperoni.n.01,,,
crowd,crowd.n.01,,,
thumb,thumb.n.01,,3,bp
propeller,propeller.n.01,,,
symbol,symbol.n.01,,1,
liquid,liquid.n.01,,,
tablecloth,tablecloth.n.01,,,
store,shop.n.01,,,
mushroom,mushroom.n.01,mushroom.n.05,,
runway,track.n.09,,,
train_car,NF,railcar.n.01,,
potato,potato.n.01,,,
teddy_bear,teddy.n.01,,,
baby,baby.n.01,,,
microwave,microwave.n.01,,,
headband,headband.n.01,,,
utensil,utensil.n.01,,,
headboard,headboard.n.01,,,
straw,straw.n.01,,,
stop_sign,NF,stop_sign.n.01,,wn2
skin,skin.n.01,,,
egg,egg.n.01,,,
display,display.n.01,,,
couple,couple.n.01,,,
ladder,ladder.n.01,,,
sprinkle,scattering.n.03,,1,
power_lines,power_line.n.01,,,
tennis_ball,tennis_ball.n.01,,,
toy,plaything.n.01,,,
burner,burner.n.01,burner.n.02,,
grill,grillroom.n.01,grill.n.02,,
umpire,umpire.n.01,,,
brush,brush.n.01,,,
tongue,tongue.n.01,,,
game,game.n.01,,,
smoke,smoke.n.01,,,
canopy,canopy.n.01,,,
grape,grape.n.01,,,
magnet,magnet.n.01,,,
river,river.n.01,,,
taxi,cab.n.03,,,
chicken,chicken.n.01,,,
drain,drain.n.01,,,
mask,mask.n.01,,,
american_flag,american_flag.n.01,,,
mug,mug.n.01,,,
strawberry,strawberry.n.01,,,
batter,batter.n.01,,,
wine_glass,NF,wineglass.n.01,,
suv,sport_utility.n.01,,,
tank_top,tank_top.n.01,,,
scissors,scissors.n.01,,,
barrier,barrier.n.01,,,
planter,planter.n.01,planter.n.03,,
drink,drink.n.01,drink.n.03,,
cross,cross.n.01,,,
duck,duck.n.01,,,
baseball,baseball.n.01,,,
mat,mat.n.01,,,
telephone_pole,telephone_pole.n.01,,,
crosswalk,crossing.n.05,,,
toilet_paper,toilet_tissue.n.01,,,
hay,hay.n.01,,,
twig,branchlet.n.01,,,
tape,tape.n.01,,,
hillside,hillside.n.01,,,
surfer,surfer.n.01,,,
station,station.n.01,,,
passenger,passenger.n.01,,,
mustache,mustache.n.01,,,
pond,pond.n.01,,,
heart,heart.n.01,,3,bp; can also be the shape
sofa,sofa.n.01,,,
balloon,balloon.n.01,,,
crate,crate.n.01,,,
toothbrush,toothbrush.n.01,,,
pitcher,pitcher.n.01,,,could also be a pitcher for liquids?
rose,rose.n.01,,,
spice,spice.n.01,,,
baseball_bat,baseball_bat.n.01,,,
moss,moss.n.01,,,
apron,apron.n.01,,,
airport,airport.n.01,,,
light_bulb,light_bulb.n.01,,,
lemon,lemon.n.01,,,
cupcake,cupcake.n.01,,,
magazine,magazine.n.01,,,
light_fixture,NF,light_fixture.n.01,,wn2
bookshelf,bookshelf.n.01,,,
fence_post,NF,,1,
hose,hosiery.n.01,hose.n.03,,
power_line,power_line.n.01,,,
icing,frost.n.03,,,
fireplace,fireplace.n.01,,,
nightstand,NF,,,manual
hook,hook.n.01,,,
antenna,antenna.n.01,,,
beer,beer.n.01,,,
comforter,sympathizer.n.01,,,
lake,lake.n.01,,,
fry,fry.n.01,,1,
coffee_table,coffee_table.n.01,,,
sweatshirt,sweatshirt.n.01,,,
shower,shower.n.01,,,
jet,jet.n.01,,,
water_bottle,water_bottle.n.01,,,
entrance,entrance.n.01,,,
driver,driver.n.01,,,
soap,soap.n.01,,,
sail,sail.n.01,,,
buoy,buoy.n.01,,,
hedge,hedge.n.01,,,
salad,salad.n.01,,,
cupboard,cupboard.n.01,,,
paddle,paddle.n.01,,,
mound,mound.n.01,,,
tree_branch,limb.n.02,,,
drawing,drawing.n.01,,,
pine_trees,pine.n.01,,,
bell,bell.n.01,,,
seed,seed.n.01,,,
cucumber,cucumber.n.01,,,
goat,goat.n.01,,,
palm_trees,palm.n.03,,,
parking_meter,parking_meter.n.01,,,
rice,rice.n.01,,,
sausage,sausage.n.01,,,
tissue,tissue.n.01,,,
ketchup,catsup.n.01,,,
puddle,puddle.n.01,,,
dispenser,dispenser.n.01,,,
dome,dome.n.01,,,
pedestrian,pedestrian.n.01,,,
pastry,pastry.n.01,,,
lawn,lawn.n.01,,,
blouse,blouse.n.01,,,
ice,ice.n.01,,,
living_room,living_room.n.01,,,
card,card.n.01,,,
menu,menu.n.01,,,
deck,deck.n.01,,,
restaurant,restaurant.n.01,,,
candy,candy.n.01,,,
bacon,bacon.n.01,,,
saucer,disk.n.01,,,
roll,axial_rotation.n.01,roll.n.07,,
lock,lock.n.01,,,
machine,machine.n.01,,1,too hypernymy already
yard,yard.n.01,,,
trailer,dawdler.n.01,trailer.n.04,,
zoo,menagerie.n.02,,,
toilet_seat,toilet_seat.n.01,,,
spinach,spinach.n.01,,,
nut,nut.n.01,,,
crane,crane.n.01,crane.n.04,1,"can also be the bird, crane.n.05"
coffee,coffee.n.01,,,
bubble,bubble.n.01,,,
juice,juice.n.01,,,
bedroom,bedroom.n.01,,,
marker,marker.n.01,,,
mud,mud.n.01,,,
berry,berry.n.01,,,
intersection,intersection.n.01,,,
cooler,cooler.n.01,,,
stuffed_animal,NF,,4,toy
mouse_pad,NF,mousepad.n.01,,
crumb,crumb.n.01,,,
wool,wool.n.01,,,
cabinet_door,NF,,1,
dugout,dugout.n.01,,,
mustard,mustard.n.01,,,
pigeon,pigeon.n.01,,,
newspaper,newspaper.n.01,,,
skateboarder,skateboarder.n.01,,,
wii_controller,NF,,4,toy
lamp_shade,lampshade.n.01,,,
computer_monitor,computer_monitor.n.01,,,
dresser,chest_of_drawers.n.01,,,
wine_bottle,wine_bottle.n.01,,,
traffic_sign,NF,traffic_signal.n.01,,
clock_tower,clock_tower.n.01,,,
cutting_board,chopping_board.n.01,,,
placemat,NF,table_mat.n.01,,
stroller,saunterer.n.01,stroller.n.01,,
chocolate,cocoa.n.01,chocolate.n.02,,
staircase,stairway.n.01,,,
headphone,earphone.n.01,,,
ski_lift,ski_tow.n.01,,,
fish,fish.n.01,,,
coffee_cup,coffee_cup.n.01,,,
dishwasher,dishwasher.n.01,,,
scooter,water_scooter.n.01,scooter.n.03,,
waist,waist.n.01,,,
character,fictional_character.n.01,,1,
silverware,silverware.n.01,,,
bleacher,bleacher.n.01,,,
figurine,figurine.n.01,,,
figure,figure.n.01,,,
shop,shop.n.01,,,
steering_wheel,steering_wheel.n.01,,,
pillar,pillar.n.01,,,
bean,bean.n.01,,,
microphone,microphone.n.01,,,
lamb,lamb.n.01,,,
flower_pot,NF,flowerpot.n.01,,
sailboat,sailboat.n.01,,,
snowsuit,snowsuit.n.01,,,
porch,porch.n.01,,,
bus_stop,bus_stop.n.01,,,
artwork,artwork.n.01,,,
tree_branches,limb.n.02,,,
train_station,railway_station.n.01,,,
cage,cage.n.01,,,
dessert,dessert.n.01,,,
locomotive,locomotive.n.01,,,
carriage,passenger_car.n.01,,,
vine,vine.n.01,,,
cream,cream.n.01,,,
bedspread,bedspread.n.01,,,
drape,curtain.n.01,,,
island,island.n.01,,,
traffic_lights,traffic_light.n.01,,,
barn,barn.n.01,,,
ham,ham.n.01,,,
ship,ship.n.01,,,
pumpkin,pumpkin.n.01,pumpkin.n.02,,
skyscraper,skyscraper.n.01,,,
ornament,decoration.n.01,,,
wristwatch,wristwatch.n.01,,,
pea,pea.n.01,,,
doll,doll.n.01,,,
seagull,gull.n.02,,,
corn,corn.n.01,corn.n.03,,
bandana,bandanna.n.01,,,
policeman,policeman.n.01,,,
urinal,urinal.n.01,,,
heel,heel.n.01,,,
street_lights,NF,streetlight.n.01,,
kettle,kettle.n.01,,,
device,device.n.01,,,
basil,basil.n.01,,,
tool,tool.n.01,,,
cd,cadmium.n.01,compact_disc.n.01,,
skate_park,NF,,1,
snowboarder,snowboarder.n.01,,,
toilet_bowl,toilet_bowl.n.01,,,
blender,blender.n.01,,,
sculpture,sculpture.n.01,,,
soda,sodium_carbonate.n.01,soda.n.02,,
cabin,cabin.n.01,,,
pineapple,pineapple.n.01,pineapple.n.02,,
stuffed_bear,NF,,1,
cookie,cookie.n.01,,,
cherry,cherry.n.01,,,
blueberry,blueberry.n.01,,,
church,church.n.01,,,
knee_pad,knee_pad.n.01,,,
sea,sea.n.01,,,
package,package.n.01,,,
air_conditioner,air_conditioner.n.01,,,
garage,garage.n.01,,,
beverage,beverage.n.01,,,
pasture,pasture.n.01,,,
swimsuit,swimsuit.n.01,,,
spatula,spatula.n.01,,,
handbag,bag.n.04,,,
bookcase,bookcase.n.01,,,
bull,bull.n.01,,,
soup,soup.n.01,,,
coffee_maker,coffee_maker.n.01,,,
family,family.n.01,,1,
herb,herb.n.01,,,
canoe,canoe.n.01,,,
patio,patio.n.01,,,
picture_frame,picture_frame.n.01,,,
chandelier,chandelier.n.01,,,
canister,case_shot.n.01,canister.n.02,,
wallpaper,wallpaper.n.01,,,
milk,milk.n.01,,,
stump,stump.n.01,,,
soccer_ball,soccer_ball.n.01,,,
cigarette,cigarette.n.01,,,
foil,foil.n.01,,,
tunnel,tunnel.n.01,,,
toaster,toaster.n.01,,,
butter,butter.n.01,,,
flip_flops,NF,flip-flop.n.02,,
cliff,cliff.n.01,,,
pencil,pencil.n.01,,,
coffee_mug,coffee_mug.n.01,,,
swimming_pool,swimming_pool.n.01,,,
seaweed,seaweed.n.01,,,
noodle,noodle.n.01,,,
bikini,bikini.n.01,,,
life_jacket,life_jacket.n.01,,,
stadium,stadium.n.01,,,
tomato_sauce,tomato_sauce.n.01,,,
railroad,railway.n.01,,,
rain,rain.n.01,,,
sugar,sugar.n.01,,,
pear,pear.n.01,,,
biker,NF,motorcyclist.n.01,,
notebook,notebook.n.01,,,
garden,garden.n.01,,,
audience,audience.n.01,,,
bouquet,bouquet.n.01,,,
highway,highway.n.01,,,
steam,steam.n.01,,,
guitar,guitar.n.01,,,
end_table,NF,coffee_table.n.01,,
meal,meal.n.01,,,
picnic_table,NF,,,manual
wii,NF,,,manual
flip_flop,NF,flip-flop.n.02,,
salt_shaker,saltshaker.n.01,,,
platter,platter.n.01,,,
shoe_lace,shoelace.n.01,,,
pasta,pasta.n.01,,,
ceiling_light,NF,,,manual
aircraft,aircraft.n.01,,,
shower_curtain,shower_curtain.n.01,,,
paper_towels,paper_towel.n.01,,,
chopstick,chopstick.n.01,,,
snow_pants,NF,,,manual
peach,peach.n.01,,,
ottoman,ottoman.n.01,,,
hour_hand,hour_hand.n.01,,1,
radiator,radiator.n.01,,,
watermelon,watermelon.n.01,,,
mattress,mattress.n.01,,,
cabbage,cabbage.n.01,,,
roadway,roadway.n.01,,,
market,market.n.01,,,
folding_chair,folding_chair.n.01,,,
map,map.n.01,,1,
calf,calf.n.01,,2,ambiguous
bead,bead.n.01,,,
knee_pads,knee_pad.n.01,,,
mailbox,mailbox.n.01,,,
costume,costume.n.01,,,
cowboy_hat,cowboy_hat.n.01,,,
manhole_cover,manhole_cover.n.01,,,
officer,military_officer.n.01,,,
office,office.n.01,,,
tree_leaves,NF,leaf.n.01,,
pilot,pilot.n.01,,,
worker,worker.n.01,,1,
minute_hand,minute_hand.n.01,,1,
candle_holder,candlestick.n.01,,,
printer,printer.n.01,,,
shelter,shelter.n.01,,,
herd,herd.n.01,,,
pizza_slice,NF,pizza.n.01,,
cauliflower,cauliflower.n.01,cauliflower.n.02,,
squash,squash.n.01,squash.n.02,,
celery,celery.n.01,,,
robe,robe.n.01,,,
jeep,jeep.n.01,,,
match,match.n.01,,1,
butterfly,butterfly.n.01,,,
face_mask,face_mask.n.01,,,
